ACTCMMID,COSTT4_A,RET_FT4,MD_EARN_WNE_INC1_P10,SAT_AVG,TUITIONFEE_IN,OPENADMP,UG25ABV,PCTPELL,PCTPELL_DCS,C150_4
28.0,38428.0,0.916,63783.0,1328.0,27000.0,2.0,0.0161,0.2072,0.2072,0.8506
29.0,67000.0,0.861,61848.0,1380.0,50066.0,2.0,0.0129,0.1898,0.1898,0.7356
26.0,62130.0,0.696,58581.0,1231.0,49864.0,2.0,0.0392,0.3424,0.3424,0.6557
21.0,22772.0,0.568,39144.0,1066.0,9776.0,2.0,0.2087,0.3553,0.455,0.28
25.0,23895.0,0.6976,64378.0,1150.0,9562.0,2.0,0.2009,0.2608,0.3374,0.4385
28.0,32351.0,0.8778,62927.0,1301.0,13106.0,2.0,0.0619,0.1435,0.1456,0.7474
31.0,37114.0,0.9362,96958.0,1403.0,20040.0,2.0,0.0508,0.133,0.1348,0.8181
26.0,28277.0,0.8622,57073.0,1199.0,12874.0,2.0,0.1042,0.2124,0.2177,0.6662
29.0,72540.0,0.88,68391.0,1348.0,56439.0,2.0,0.0598,0.1513,0.1538,0.7745
20.0,24017.0,0.5947,42654.0,1147.0,9212.0,2.0,0.145,0.3764,0.3969,0.3877
23.0,22346.0,0.7599,39494.0,1062.0,9297.0,2.0,0.16,0.3005,0.3312,0.3915
21.0,22428.0,0.628,48401.0,1025.0,10260.0,2.0,0.3635,0.3323,0.3493,0.2898
23.0,26352.0,0.7518,50573.0,1106.0,11332.0,2.0,0.1159,0.2653,0.2921,0.5191
25.0,52045.0,0.7248,58711.0,1149.0,42220.0,2.0,0.3472,0.2452,0.2573,0.668
22.0,22545.0,0.6241,50802.0,1031.0,9245.0,2.0,0.2141,0.3343,0.4321,0.3505
24.0,24833.0,0.767,45710.0,1154.0,10813.0,2.0,0.0673,0.1416,0.2659,0.4698
23.0,22904.0,0.7653,55999.0,1061.0,12106.0,2.0,0.1846,0.3579,0.3641,0.5347
32.0,79575.0,0.872,58054.0,1427.0,63005.0,2.0,0.0055,0.1597,0.1613,0.8411
30.0,35236.0,0.9095,66740.0,1340.0,19434.0,2.0,0.0248,0.2406,0.2433,0.8318
29.0,71215.0,0.9108,78376.0,1325.0,54455.0,2.0,0.0182,0.0736,0.0745,0.8419
26.0,60887.0,0.7438,57498.0,1201.0,46148.0,2.0,0.048,0.2835,0.2899,0.5694
27.0,60918.0,0.7396,57642.0,1180.0,44184.0,2.0,0.0575,0.2789,0.2819,0.621
31.0,79605.0,0.9002,91434.0,1387.0,63930.0,2.0,0.0107,0.1306,0.1331,0.8357
