SAT_AVG,UG25ABV,PCTPELL,PCTPELL_DCS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,RET_FT4,MD_EARN_WNE_INC1_P10,MD_EARN_WNE_INC3_P10,C150_4
1380.0,0.0129,0.1898,0.1898,50066.0,50066.0,67000.0,0.861,61848.0,67391.0,0.7356
1231.0,0.0392,0.3424,0.3424,49864.0,49864.0,62130.0,0.696,58581.0,62250.0,0.6557
1066.0,0.2087,0.3553,0.455,9776.0,21848.0,22772.0,0.568,39144.0,52898.0,0.28
1150.0,0.2009,0.2608,0.3374,9562.0,26818.0,23895.0,0.6976,64378.0,63702.0,0.4385
1301.0,0.0619,0.1435,0.1456,13106.0,40356.0,32351.0,0.8778,62927.0,74571.0,0.7474
1403.0,0.0508,0.133,0.1348,20040.0,42120.0,37114.0,0.9362,96958.0,97432.0,0.8181
1199.0,0.1042,0.2124,0.2177,12874.0,32734.0,28277.0,0.8622,57073.0,64282.0,0.6662
1348.0,0.0598,0.1513,0.1538,56439.0,56439.0,72540.0,0.88,68391.0,73853.0,0.7745
1147.0,0.145,0.3764,0.3969,9212.0,19724.0,24017.0,0.5947,42654.0,50017.0,0.3877
1062.0,0.16,0.3005,0.3312,9297.0,23019.0,22346.0,0.7599,39494.0,54202.0,0.3915
1025.0,0.3635,0.3323,0.3493,10260.0,28092.0,22428.0,0.628,48401.0,55742.0,0.2898
1106.0,0.1159,0.2653,0.2921,11332.0,24722.0,26352.0,0.7518,50573.0,54992.0,0.5191
1149.0,0.3472,0.2452,0.2573,42220.0,42220.0,52045.0,0.7248,58711.0,82173.0,0.668
1031.0,0.2141,0.3343,0.4321,9245.0,16324.0,22545.0,0.6241,50802.0,63201.0,0.3505
1154.0,0.0673,0.1416,0.2659,10813.0,22837.0,24833.0,0.767,45710.0,49608.0,0.4698
1061.0,0.1846,0.3579,0.3641,12106.0,24994.0,22904.0,0.7653,55999.0,55171.0,0.5347
1427.0,0.0055,0.1597,0.1613,63005.0,63005.0,79575.0,0.872,58054.0,78875.0,0.8411
1340.0,0.0248,0.2406,0.2433,19434.0,42102.0,35236.0,0.9095,66740.0,81315.0,0.8318
1325.0,0.0182,0.0736,0.0745,54455.0,54455.0,71215.0,0.9108,78376.0,91750.0,0.8419
1201.0,0.048,0.2835,0.2899,46148.0,46148.0,60887.0,0.7438,57498.0,64883.0,0.5694
1180.0,0.0575,0.2789,0.2819,44184.0,44184.0,60918.0,0.7396,57642.0,65058.0,0.621
1387.0,0.0107,0.1306,0.1331,63930.0,63930.0,79605.0,0.9002,91434.0,105111.0,0.8357
1547.0,0.0067,0.1877,0.1878,62250.0,62250.0,82170.0,0.981,99674.0,104563.0,0.9781
1290.0,0.0252,0.1563,0.1622,15410.0,37930.0,28744.0,0.9093,65375.0,75106.0,0.7961
1386.0,0.0167,0.1247,0.1293,53889.0,53889.0,68494.0,0.8625,76415.0,79088.0,0.7943
896.0,0.248,0.5603,0.5676,17712.0,17712.0,39402.0,0.7285,40902.0,46164.0,0.4367
1420.0,0.0962,0.1469,0.1546,62200.0,62200.0,77900.0,0.8957,87173.0,93707.0,0.848
1507.0,0.0217,0.115,0.1193,62052.0,62052.0,81515.0,0.9658,94024.0,117512.0,0.9561
1164.0,0.0255,0.4052,0.408,31050.0,31050.0,48214.0,0.8817,62422.0,65488.0,0.7
1045.0,0.2749,0.3199,0.5357,12450.0,12450.0,19539.0,0.7391,40545.0,40140.0,0.5938
903.0,0.0402,0.7632,0.7632,14794.0,14794.0,29551.0,0.5136,37277.0,43725.0,0.3471
1126.0,0.0905,0.2515,0.2523,41550.0,41550.0,58188.0,0.7404,47561.0,55793.0,0.5209
960.0,0.1074,0.6443,0.6486,18614.0,18614.0,29073.0,0.4848,37151.0,43098.0,0.4857
1281.0,0.1548,0.3435,0.3449,6368.0,22467.0,22662.0,0.9299,55645.0,62032.0,0.7558
1237.0,0.059,0.17,0.2197,40564.0,40564.0,57754.0,0.818,75740.0,90898.0,0.6348
1077.0,0.0794,0.5547,0.5782,5785.0,17725.0,23985.0,0.8982,43206.0,48986.0,0.6041
1112.0,0.1781,0.3599,0.3776,4879.0,17324.0,20118.0,0.8088,55364.0,58694.0,0.6214
1168.0,0.0795,0.2984,0.3004,23760.0,23760.0,38585.0,0.6927,46471.0,53523.0,0.5717
1114.0,0.0206,0.2663,0.2663,18060.0,18060.0,32090.0,0.6968,37828.0,47868.0,0.6761
1213.0,0.0733,0.2031,0.2203,43670.0,43670.0,57630.0,0.7544,33700.0,82922.0,0.6702
1154.0,0.217,0.5288,0.6146,6565.0,18963.0,19666.0,0.9056,58553.0,63228.0,0.6918
1206.0,0.0754,0.2679,0.2744,40500.0,40500.0,55055.0,0.774,54895.0,62639.0,0.6812
1309.0,0.0354,0.2824,0.2843,5656.0,18786.0,23308.0,0.9393,58378.0,66580.0,0.8479
1397.0,0.032,0.2213,0.2267,6381.0,28659.0,21359.0,0.9657,68870.0,76475.0,0.9001
1165.0,0.1614,0.096,0.0967,43670.0,43670.0,58927.0,0.6349,54936.0,78746.0,0.5313
1409.0,0.0404,0.1607,0.1629,57194.0,57194.0,73776.0,0.921,73938.0,78315.0,0.8411
1104.0,0.1462,0.3049,0.3116,6389.0,20793.0,18984.0,0.8009,55098.0,57185.0,0.6767
1164.0,0.0964,0.3896,0.3931,36300.0,36300.0,53370.0,0.7759,53583.0,66184.0,0.6198
1126.0,0.1089,0.2531,0.3156,35900.0,35900.0,52625.0,0.761,45470.0,54442.0,0.5631
1102.0,0.527,0.4371,0.4563,27050.0,27050.0,40214.0,0.5445,40850.0,63609.0,0.4934
1235.0,0.1467,0.3155,0.327,6410.0,17324.0,21383.0,0.8957,55901.0,60491.0,0.7412
1205.0,0.0296,0.3564,0.3627,52320.0,52320.0,67631.0,0.675,50085.0,53437.0,0.6366
968.0,0.156,0.5384,0.5532,28044.0,28044.0,39677.0,0.4578,43189.0,47771.0,0.4045
1166.0,0.2766,0.3347,0.3513,6360.0,19241.0,18357.0,0.8507,47976.0,50768.0,0.5306
986.0,0.1083,0.3662,0.4204,3165.0,10071.0,13323.0,0.6285,30637.0,51150.0,0.3971
990.0,0.1097,0.3248,0.6695,22300.0,22300.0,34203.0,0.6923,32811.0,52017.0,0.2555
974.0,0.0307,0.6835,0.6863,24730.0,24730.0,39446.0,0.7076,39875.0,49458.0,0.462
1210.0,0.0023,0.2532,0.2535,39376.0,39376.0,54975.0,0.8313,46764.0,56152.0,0.6473
997.0,0.2364,0.3824,0.4495,3483.0,10389.0,18167.0,0.581,35905.0,49183.0,0.2292
1020.0,0.2385,0.4339,0.4647,5751.0,16805.0,20838.0,0.6526,42057.0,49076.0,0.434
1315.0,0.0092,0.203,0.2107,38860.0,38860.0,51713.0,0.768,48369.0,58429.0,0.7396
1493.0,0.0182,0.1878,0.1899,57948.0,57948.0,75594.0,0.9521,79774.0,82640.0,0.8999
