INSTNM,CITY,STABBR,ZIP,ADM_RATE_ALL,ADMCON7,SAT_AVG,ACTCM25,ACTCM75,OPENADMP,PCTFLOAN_DCS,PCTPELL_DCS,FTFTPCTFLOAN,UGDS,UGDS_MEN,UGDS_WOMEN,UG25ABV,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,FIRSTGEN_DEBT_MDN,NOTFIRSTGEN_DEBT_MDN,PAR_ED_PCT_1STGEN,FAMINC,MD_FAMINC,PCT_BORN_US,UNEMP_RATE,COSTT4_A,COSTT4_P
William Edge Institute,New Braunfels,TX,78130-8216,,,,,,1.0,0.0,0.3924,0.0,39.0,0.0513,0.9487,0.3393,0.4872,0.0256,0.4615,0.0,0.0256,0.0,0.0,0.0,0.0,PS,PS,PS,12453.222222,9771.5,87.870002746582,3.29999995231628,,18652.0
Wade College,Dallas,TX,75207,,,,,,1.0,0.6343,0.5,0.7273,157.0,0.1338,0.8662,0.4907,0.2675,0.3631,0.293,0.0446,0.0064,0.0,0.0,0.0,0.0255,14250,17426,0.3333333333,36505.775758,24036,87.0100021362304,3.71000003814697,24054.0,
Southern Careers Institute-Austin,Austin,TX,78744,,,,,,1.0,0.6223,0.6328,0.6845,1070.0,0.4009,0.5991,0.6555,0.2822,0.2234,0.4019,0.0121,0.0103,0.0075,0.043,0.0,0.0196,7389,7319,0.6368055556,19220.150898,14258,81.5199966430664,4.86999988555908,,25099.0
Tint School of Makeup & Cosmetology,Irving,TX,75061-4235,,,,,,1.0,0.5161,0.4946,0.5758,57.0,0.0,1.0,0.4545,0.193,0.3158,0.4211,0.0351,0.0,0.0,0.0,0.0351,0.0,4706,4750,0.4924242424,20103.644366,17211.5,81.9899978637695,3.27999997138977,,21701.0
Navarro College,Corsicana,TX,75110,,,,,,1.0,0.1922,0.3257,0.3654,6277.0,0.3866,0.6134,0.1721,0.5676,0.165,0.1671,0.0102,0.004,0.0032,0.0444,0.0065,0.0319,8013,7000,0.4848741872,34200.48918,24997,91.1500015258789,3.84999990463256,16988.0,
Lone Star College System,The Woodlands,TX,77381-4399,,,,,,1.0,0.1069,0.3204,0.094,47486.0,0.4038,0.5962,0.2239,0.2461,0.1411,0.4511,0.064,0.0023,0.0,0.0363,0.0428,0.0164,5500,5500,0.5052254098,30638.140863,22787,84.7399978637695,3.51999998092651,14800.0,
University of North Texas,Denton,TX,76203-1277,0.79132308845577,5.0,1127.0,19.0,27.0,2.0,0.3725,0.3535,0.4069,33023.0,0.4581,0.5419,0.152,0.383,0.1512,0.2831,0.0793,0.0027,0.0011,0.0445,0.044,0.011,14000,14000,0.347966205,58313.492246,40028,88.1299972534179,3.08999991416931,24696.0,
Northeast Texas Community College,Mount Pleasant,TX,75455,,,,,,1.0,0.1405,0.6747,0.0995,1932.0,0.31,0.69,0.2327,0.471,0.1227,0.3468,0.0083,0.0041,0.0021,0.0171,0.0248,0.0031,9500,8625,0.5360995851,30469.263122,24579.5,91.1399993896484,3.29999995231628,15775.0,
Oblate School of Theology,San Antonio,TX,78216-6693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ocean Corporation,Houston,TX,77099,,,,,,1.0,0.652,0.5423,0.6703,176.0,0.9375,0.0625,0.4253,0.5227,0.125,0.267,0.0057,0.0,0.0114,0.0682,0.0,0.0,9500,5500,0.5226666667,29354.061538,21575,85.5999984741211,3.58999991416931,,33018.0
